accurate;dokładny, precyzyjny, trafny;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:accurate;A:222;A:;A:222;A:;A:222;A:
allocate resources;alokować zasoby;to allocate resources;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:allocate resources;A:222;A:to allocate resources;A:222;A:;A:222;A:
apply;odnosić się, dotyczyć, mieć zastosowanie;to apply;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:apply;A:222;A:to apply;A:222;A:;A:222;A:
assets;aktywa;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:assets;A:222;A:;A:222;A:;A:222;A:
at once;od razu, natychmiast;instantly;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:at once;A:222;A:instantly;A:222;A:;A:222;A:
beneficial;korzystny, dobroczynny;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:beneficial;A:222;A:;A:222;A:;A:222;A:
boost effectiveness;zwiększać efektywność;to boost effectiveness;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:boost effectiveness;A:222;A:to boost effectiveness;A:222;A:;A:222;A:
brand;marka;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:brand;A:222;A:;A:222;A:;A:222;A:
business goal;cel biznesowy;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:business goal;A:222;A:;A:222;A:;A:222;A:
business management software;oprogramowanie wspomagające zarządzanie przedsiębiorstwem;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:business management software;A:222;A:;A:222;A:;A:222;A:
capture;przechwytywać, zdobywać;to capture;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:capture;A:222;A:to capture;A:222;A:;A:222;A:
challenge;wyzwanie;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:challenge;A:222;A:;A:222;A:;A:222;A:
competitive advantage;przewaga konkurencyjna;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:competitive advantage;A:222;A:;A:222;A:;A:222;A:
completion;ukończenie, zakończenie;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:completion;A:222;A:;A:222;A:;A:222;A:
comprehensive real-time view;pełny wgląd w czasie rzeczywistym;;;;;;#REF!;#REF!;A:111;#REF!;A:111;#REF!;A:111;#REF!;A:333;A:comprehensive real-time view;A:222;A:;A:222;A:;A:222;A:
